1	13077
2	13078
3	13106
4	13108
5	13109
6	13110
7	13111
8	13144
9	13145
10	13169
11	13170
12	13171
13	13172
14	13173
15	13174
16	13175
17	13176
18	13177
19	13178
20	13179
21	13180
22	13298
23	13355
24	13162
101	13090
102	13091
103	13092
104	13093
105	13096
106	13130
107	13129
108	13135
109	13146
110	13147
111	13157
112	13158
113	13159
114	13160
115	13161
116	13162
117	13163
118	13164
119	13165
120	13166
121	13167
122	13168
123	13197
124	13090
125	13268
126	13283
127	140
128	13299
129	13311
130	13312
131	13313
132	13314
133	13315
134	13316
135	13317
136	13318
137	13330
138	13340
139	13350
140	13352
141	13351
142	13382
143	13383
144	13384
145	13385
146	13391
147	13390
148	13389
149	13392
150	13393
151	13394
152	13395
153	13396
154	13440
155	13441
156	13451
157	13473
158	13474
159	13475
160	13476
161	13477
162	13478
163	161
201	13079
202	13079
203	13079
204	13081
205	13081
206	13081
207	13082
208	13082
209	13082
210	13083
211	13083
212	13083
213	13084
214	13084
215	13084
216	13085
217	13085
218	13085
219	13156
220	13155
221	13154
251	13088
252	13112
253	13113
254	13114
255	13115
256	13116
257	13117
258	13118
259	13119
260	13142
301	13086
302	13087
303	13094
304	13095
305	13099
306	13100
307	13101
308	13102
309	13103
310	13104
311	13105
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	13129
320	13131
321	13132
322	13133
323	13134
500	13093
501	13095
502	13096
503	13157
504	13135
505	13338
506	13088
507	13142
508	19048
509	14926
510	19050
511	19051
512	19049
513	19052
514	19053
515	19054
516	19055
701	13386
702	13388
703	13387
20000	126
20001	138
20002	132
20003	133
20004	136
20005	134
20006	135
20007	158
20008	159
20009	160
20010	161
20011	5005
20012	8401
20013	8402
20014	8403
20015	8404
20016	8426
20017	2532
20018	20520
20019	8467
20020	8616
20021	16030
20022	8627
